"IDENTITY_NAME","LAST_PLAN_NAME","CHURNED","HAS_BEEN_ADOPTED","LIFETIME","BILLING_CYCLE_FIXED","APPOINTMENTS_PER_WEEK","PAYMENTS_PER_WEEK","DIRECTORY_TYPE"
Coaching & Consulting,vCita Essentials (Annual),1,0,680,Annual,0.000000,0,Direct
IT & Web,vCita Business (Annual),0,1,760,Annual,0.038158,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,1392,Monthly,0.000718,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),0,0,38,Monthly,0.078947,0,Direct
Artists & Designers,vCita Essentials (Monthly),0,0,30,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,30,Monthly,0.166667,0,Direct
IT & Web,vCita Essentials (Monthly),1,0,61,Monthly,0.081967,0,Direct
"Events, Planning & Catering",Business (Annual),0,0,416,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,603,Monthly,0.000000,0,Direct
Business Services,vCita Essentials (Monthly),0,0,668,Monthly,0.002994,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),0,0,60,Monthly,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Business (Annual),0,0,409,Annual,0.000000,0,Direct
Government & Non-profit,vCita Essentials (Monthly),0,0,144,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Annual),0,0,843,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Platinum (Monthly),0,1,105,Monthly,0.152381,0,Reseller
Business Services,vCita Essentials (Monthly),0,0,30,Monthly,0.000000,0,Direct
Real Estate,Platinum Single (Monthly),1,0,133,Monthly,0.015038,0,Solution Provider
Alternative Medicine,vCita Business (Annual),1,0,109,Annual,0.100917,20.578,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Annual),1,0,1483,Annual,0.002023,0,Direct
"Home & Garden Work, Cleaning & Repair",Essentials (Monthly),0,0,358,Monthly,0.005587,0,Direct
"Suppliers, Manufacturers & Distributors ",vCita Essentials (Annual - Promo) ,0,0,99,Annual,0.050505,19.059,Direct
IT & Web,vCita Essentials (Monthly),0,0,339,Monthly,0.000000,0,Direct
Beauty & Personal Care,vCita Essentials (Monthly),0,1,65,Monthly,0.000000,0,Direct
Financial Services,vCita Business (Annual),0,0,1174,Annual,0.001704,0,Direct
Business Services,vCita Online Scheduling (Annual),0,0,745,Annual,0.000000,0,Direct
Business Services,vCita Essentials (Annual),0,0,1158,Annual,0.000000,0,Direct
Counseling & Mental Health,vCita Online Scheduling (Monthly),1,0,227,Monthly,0.149780,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Annual),0,0,775,Annual,0.000000,0,Direct
Business Services,Online Scheduling (Annual),1,0,98,Annual,0.653061,0,White Label
"Sales, Marketing & Advertising",vCita Essentials (Annual),0,0,414,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,1,271,Monthly,0.059041,0,Direct
Coaching & Consulting,vCita Online Scheduling (Monthly),0,0,61,Monthly,0.016393,0,Direct
IT & Web,vCita Business (Monthly),0,0,76,Monthly,0.000000,0,Direct
Beauty & Personal Care,Business (Annual),0,0,412,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Platinum (Monthly),0,0,37,Monthly,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Online Scheduling (Monthly),0,0,1471,Monthly,0.032631,0,Direct
Photography & Video,vCita Essentials (Annual),1,0,761,Annual,0.000000,0,Direct
Business Services,vCita Essentials (Annual),1,0,1616,Annual,0.000000,0,Direct
Business Services,vCita Online Scheduling (Monthly),1,0,1127,Monthly,0.000000,0,Direct
Beauty & Personal Care,vCita Essentials (Monthly),0,0,28,Monthly,0.000000,0,Direct
Healthcare & Medical,vCita Platinum (Monthly),0,0,61,Monthly,0.016393,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Monthly),0,0,33,Monthly,0.030303,0,Direct
Legal Services,vCita Lead Generation (Monthly),0,0,1217,Monthly,0.000822,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),0,0,151,Monthly,0.000000,0,Direct
Business Services,vCita Online Scheduling (Monthly),0,0,39,Monthly,0.000000,0,Direct
Counseling & Mental Health,vCita Business (Monthly),0,0,28,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),1,0,1757,Monthly,0.010245,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,54,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,182,Monthly,0.000000,0,Direct
IT & Web,vCita Lead Generation (Annual),0,0,1111,Annual,0.000000,0,Direct
Writing & Language Services,vCita Essentials (Monthly),0,0,61,Monthly,0.049180,0,Direct
"Arts, Music & Entertainment",vCita Online Scheduling (Annual),1,0,29,Annual,0.482759,0,Direct
Legal Services,vCita Business (Annual - Promo),1,0,40,Annual,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Platinum (Annual),1,0,715,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,168,Monthly,0.000000,0,Direct
Healthcare & Medical,vCita Online Scheduling (Monthly),0,0,216,Monthly,0.009259,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),1,0,938,Monthly,0.000000,0,Reseller
Legal Services,vCita Essentials (Monthly),0,0,308,Monthly,0.000000,0,Direct
Financial Services,vCita Business (Monthly),0,0,152,Monthly,0.000000,0,Direct
Business Services,vCita Platinum (Monthly),0,0,124,Monthly,0.008065,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Online Scheduling (Monthly),0,0,88,Monthly,0.045455,0,Direct
Healthcare & Medical,vCita Essentials (Annual),0,0,452,Annual,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Essentials (Monthly),1,0,783,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Online Scheduling (Monthly),0,1,90,Monthly,0.411111,0,Direct
Fitness,Platinum (Monthly),0,0,31,Monthly,0.193548,0,White Label
IT & Web,vCita Essentials (Monthly),0,0,30,Monthly,0.000000,0,Direct
Business Services,vCita Essentials (Monthly),0,0,1078,Monthly,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Monthly),0,0,67,Monthly,0.014925,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),0,0,32,Monthly,0.000000,0,Reseller
Financial Services,vCita Essentials (Monthly),0,0,489,Monthly,0.002045,0,Direct
Legal Services,vCita Business (Annual),0,0,366,Annual,0.002732,0,Reseller
Business Services,vCita Online Scheduling (Annual),0,0,1133,Annual,0.000000,0,Direct
Healthcare & Medical,vCita Essentials (Monthly),0,0,215,Monthly,0.018605,0,Direct
Coaching & Consulting,vCita Platinum (Monthly),1,0,991,Monthly,0.000000,0,Direct
Beauty & Personal Care,vCita Essentials (Monthly),1,0,50,Monthly,0.100000,0,Direct
"Education, Instruction & Tutoring",vCita Platinum (Monthly),0,0,31,Monthly,0.032258,0,Direct
Retail ,vCita Online Scheduling (Monthly),1,0,26,Monthly,0.000000,0,Direct
Health & Wellness,vCita Essentials (Annual - Promo) ,1,0,3,Annual,0.666667,0,Direct
Coaching & Consulting,vCita Business (Monthly),0,0,123,Monthly,0.048780,0,Direct
Counseling & Mental Health,vCita Business (Monthly),0,0,31,Monthly,0.032258,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Platinum (Annual),1,0,598,Annual,0.025084,0,Direct
Coaching & Consulting,vCita Platinum (Annual),0,0,1769,Annual,0.010741,0,Reseller
"Sales, Marketing & Advertising",vCita Platinum (Monthly),1,0,463,Monthly,0.004320,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Annual),1,0,741,Annual,0.000000,0,Direct
Adult & Nightlife,vCita Business (Annual),0,0,409,Annual,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Monthly),0,0,31,Monthly,0.129032,0,Direct
Business Services,vCita Business (Monthly),0,0,246,Monthly,0.004065,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Annual),1,0,795,Annual,0.000000,0,Direct
"Hospitality, Travel & Leisure",vCita Essentials (Monthly),0,0,4,Monthly,0.000000,0,Direct
"Hospitality, Travel & Leisure",vCita Lead Generation (Annual),0,0,1140,Annual,0.000000,0,Direct
Legal Services,vCita Essentials (Monthly),0,0,31,Monthly,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Platinum (Monthly),1,0,55,Monthly,0.527273,19.636,Direct
"Home & Garden Work, Cleaning & Repair",Essentials (Annual),0,0,384,Annual,0.000000,0,Direct
Legal Services,vCita Business (Monthly),0,0,183,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Business (Annual),0,0,370,Annual,0.000000,0,Direct
Counseling & Mental Health,vCita Business (Annual - Promo),1,1,38,Annual,5.552632,0,Direct
Fitness,vCita Platinum Single (Monthly),1,0,41,Monthly,0.000000,0.367,Direct
"Home & Garden Work, Cleaning & Repair",vCita Online Scheduling (Annual),1,0,36,Annual,0.055556,0,Direct
IT & Web,vCita Essentials (Monthly),0,0,44,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Business (Monthly),0,0,46,Monthly,0.000000,0,Direct
Business Services,vCita Essentials (Monthly),0,0,31,Monthly,0.000000,0,Direct
Fitness,vCita Business (Annual - Promo),1,0,61,Annual,0.032787,0,Direct
"Sales, Marketing & Advertising",Essentials (Annual),0,0,401,Annual,0.000000,0,Direct
Financial Services,vCita Online Scheduling (Monthly),0,0,1169,Monthly,0.000000,0,Direct
Writing & Language Services,Essentials (Annual),0,0,406,Annual,0.000000,0,Direct
IT & Web,vCita Essentials (Monthly),1,0,54,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,1,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Annual),1,0,743,Annual,0.001346,0,Direct
"Home & Garden Work, Cleaning & Repair",Lead Generation & Contacts (Monthly),1,0,46,Monthly,0.000000,0,Reseller
Photography & Video,vCita Essentials (Monthly),0,0,413,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Business (Annual),1,0,2038,Annual,0.000000,0,Reseller
IT & Web,vCita Essentials (Annual),1,0,844,Annual,0.000000,0,Reseller
Business Services,vCita Essentials (Annual),0,0,1017,Annual,0.000000,0,Direct
Counseling & Mental Health,vCita Business Single (Annual),1,0,22,Annual,0.045455,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,30,Monthly,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,1,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Annual),0,0,1097,Annual,0.000000,0,Direct
"Education, Instruction & Tutoring",vCita Business (Annual),1,0,732,Annual,0.000000,0,Direct
Business Services,vCita Business (Monthly),0,0,785,Monthly,0.000000,0,Direct
IT & Web,vCita Online Scheduling (Annual),0,0,752,Annual,0.000000,0,Reseller
Real Estate,vCita Platinum (Annual),0,0,115,Annual,0.008696,0,Direct
IT & Web,Essentials (Annual),0,0,392,Annual,0.000000,0,Direct
"Events, Planning & Catering",Essentials (Annual),0,0,405,Annual,0.000000,0,Direct
Business Services,vCita Essentials (Monthly),0,0,174,Monthly,0.000000,0,Direct
Coaching & Consulting,Essentials (Annual),0,0,372,Annual,0.000000,0,Direct
Auto Services,vCita Essentials (Monthly),1,0,1085,Monthly,0.000000,0,Direct
Government & Non-profit,vCita Business (Monthly),1,0,912,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Online Scheduling (Monthly),1,0,853,Monthly,0.022274,0,Direct
"Education, Instruction & Tutoring",vCita Essentials (Monthly),1,1,741,Monthly,0.520918,24.722,Direct
Counseling & Mental Health,vCita Essentials (Monthly),0,0,184,Monthly,0.021739,0,Direct
Healthcare & Medical,vCita Business (Annual),0,1,925,Annual,0.522162,0,Direct
Coaching & Consulting,vCita Essentials (Annual),1,1,1429,Annual,0.178446,4.348,Reseller
Financial Services,Business (Annual),0,0,433,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Annual),1,0,1397,Annual,0.000000,11.568,Direct
Business Services,vCita Online Scheduling (Annual),1,0,1224,Annual,0.400327,2.037,Direct
"Sales, Marketing & Advertising",vCita Essentials (Annual),0,0,773,Annual,0.000000,0,Direct
Alternative Medicine,vCita Online Scheduling (Monthly),1,0,856,Monthly,0.009346,0.214,Direct
Health & Wellness,vCita Business (Monthly),0,1,1479,Monthly,1.594997,0,Direct
Legal Services,vCita Platinum (Monthly),1,0,2520,Monthly,0.240476,10.327,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,485,Monthly,0.002062,0,Direct
"Education, Instruction & Tutoring",vCita Essentials (Annual),1,1,638,Annual,0.000000,8.113,Direct
Legal Services,vCita Online Scheduling (Annual),1,0,1725,Annual,0.004058,0,Direct
Financial Services,vCita Business (Monthly),0,1,1346,Monthly,0.191679,0,Direct
Coaching & Consulting,vCita Business (Annual),0,1,1031,Annual,0.126091,0,Direct
Coaching & Consulting,vCita Business (Monthly),1,1,735,Monthly,0.104762,36.977,Direct
Auto Services,vCita Business Single (Monthly),1,0,925,Monthly,0.590270,3.882,Solution Provider
"Home & Garden Work, Cleaning & Repair",vCita Business (Monthly),0,1,226,Monthly,0.057522,0,Direct
Business Services,Obs. vCita Essentials (Annual),1,1,2456,Annual,0.436075,0,Direct
Healthcare & Medical,vCita Essentials (Monthly),0,1,304,Monthly,0.088816,0,Direct
"Sales, Marketing & Advertising",vCita Platinum Single (Monthly),1,1,2378,Monthly,2.776283,141.912,Direct
Coaching & Consulting,vCita Essentials (Monthly),1,0,862,Monthly,0.096288,9.557,Direct
Photography & Video,vCita Essentials (Annual),1,0,2698,Annual,0.015567,0,Direct
Photography & Video,vCita Essentials (Annual),1,1,1832,Annual,0.066594,0,Direct
Legal Services,vCita Platinum (Monthly),1,1,1061,Monthly,0.605090,2.215,Direct
Business Services,Obs. vCita Essentials (Annual),1,0,2224,Annual,0.052158,0,Direct
Healthcare & Medical,vCita Essentials (Annual),0,0,1531,Annual,0.159373,0,Direct
Health & Wellness,vCita Platinum 10 (Annual),1,1,1945,Annual,15.671979,0,Direct
Auto Services,vCita Online Scheduling (Annual),1,0,1856,Annual,0.009159,0,Direct
Business Services,vCita Essentials (Annual),1,0,1306,Annual,0.029862,0,Direct
Business Services,vCita Business (Monthly),0,1,391,Monthly,0.084399,1.586,Direct
"Education, Instruction & Tutoring",vCita Essentials (Annual),0,0,790,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Business (Annual),1,1,1127,Annual,0.865129,53.78,Direct
"Home & Garden Work, Cleaning & Repair",vCita Platinum 10 (Monthly),1,1,676,Monthly,1.754438,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Annual),1,1,670,Annual,0.762687,50.788,Direct
Health & Wellness,Obs. vCita Essentials (Annual),1,1,2118,Annual,0.112842,10.2,Direct
Beauty & Personal Care,vCita Online Scheduling (Monthly),1,0,3,Monthly,4.000000,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),1,0,64,Monthly,0.218750,0,Direct
Beauty & Personal Care,vCita Platinum Single (Monthly),1,1,158,Monthly,0.639241,21.975,Direct
"Education, Instruction & Tutoring",vCita Business Single (Monthly),1,0,345,Monthly,0.002899,75.993,Direct
Photography & Video,vCita Business (Monthly),0,0,1189,Monthly,0.012616,0.757,Direct
Legal Services,vCita Essentials (Annual),1,0,1939,Annual,0.000516,0,Direct
Artists & Designers,vCita Essentials (Monthly),1,0,1520,Monthly,0.003947,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),1,0,526,Monthly,0.112167,0,Direct
Counseling & Mental Health,vCita Essentials (Monthly),1,0,706,Monthly,0.000000,11.523,Direct
Business Services,vCita Essentials (Monthly),1,0,2857,Monthly,0.113056,0,Direct
Business Services,vCita Essentials (Monthly),0,0,582,Monthly,0.005155,0,Direct
IT & Web,vCita Essentials (Annual),1,0,1858,Annual,0.001076,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Annual),1,1,1097,Annual,0.234275,0,Reseller
"Sales, Marketing & Advertising",vCita Platinum (Monthly),1,1,495,Monthly,6.761616,0,Direct
Business Services,vCita Business Single (Monthly),1,1,749,Monthly,0.866489,6.405,Direct
Business Services,vCita Business (Monthly),0,0,485,Monthly,0.084536,0,Reseller
Government & Non-profit,vCita Essentials (Monthly),1,0,931,Monthly,0.000000,24.397,Direct
Coaching & Consulting,vCita Online Scheduling (Annual),1,0,1777,Annual,0.020259,0.535,Direct
Retail ,vCita Essentials (Annual),1,0,162,Annual,0.000000,188.92,Direct
Legal Services,vCita Online Scheduling (Annual),1,0,2001,Annual,0.054473,0,Direct
Business Services,vCita Essentials (Annual),1,0,1358,Annual,0.043446,0.183,Direct
Coaching & Consulting,vCita Essentials (Annual),1,0,1328,Annual,0.001506,0,Direct
Financial Services,vCita Business (Annual),0,0,387,Annual,0.000000,0,Direct
Legal Services,vCita Business Single (Monthly),1,1,868,Monthly,0.038018,11.791,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),1,0,956,Monthly,0.012552,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),1,0,736,Monthly,0.002717,0,Direct
Counseling & Mental Health,vCita Essentials (Annual),1,0,1012,Annual,0.000000,1.461,Direct
"Sales, Marketing & Advertising",vCita Online Payments (Annual),1,0,1049,Annual,0.000000,0,Direct
Auto Services,vCita Essentials (Monthly),1,0,1077,Monthly,0.485608,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,768,Monthly,0.000000,0,Solution Provider
"Hospitality, Travel & Leisure",vCita Business (Annual),0,0,447,Annual,0.000000,0.224,Direct
"Education, Instruction & Tutoring",vCita Essentials (Annual),0,1,1132,Annual,0.000000,0,Direct
Legal Services,vCita Essentials (Annual),1,0,1281,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Business Single (Annual),1,1,2359,Annual,1.019924,137.307,Reseller
Business Services,vCita Online Scheduling (Annual),1,0,1736,Annual,0.007488,0,Direct
Business Services,vCita Essentials (Annual),1,0,1252,Annual,0.031949,0,Direct
Real Estate,vCita Platinum (Monthly),0,1,243,Monthly,3.106996,0,Direct
Beauty & Personal Care,vCita Online Scheduling (Monthly),1,0,450,Monthly,0.168889,0,Direct
Business Services,vCita Business (Annual),1,0,1689,Annual,0.017762,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Monthly),1,0,1945,Monthly,0.000514,0,Direct
Healthcare & Medical,vCita Essentials (Annual),1,1,1246,Annual,0.295345,0,Direct
"Sales, Marketing & Advertising",vCita Business (Annual),1,0,1149,Annual,0.139252,0,Direct
Adult & Nightlife,vCita Essentials (Monthly),1,0,1572,Monthly,0.000000,0.313,Direct
Coaching & Consulting,vCita Essentials (Monthly),1,0,506,Monthly,0.007905,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,1243,Monthly,0.000805,0,Direct
"Education, Instruction & Tutoring",vCita Business (Monthly),1,1,404,Monthly,0.007426,0.495,Direct
"Education, Instruction & Tutoring",Platinum 20 (Annual),1,0,687,Annual,1.066958,0,Reseller
Government & Non-profit,vCita Online Scheduling (Monthly),0,0,1281,Monthly,0.019516,0.24,Direct
Real Estate,Business Single (Monthly),1,0,372,Monthly,0.408602,0,White Label
Healthcare & Medical,vCita Online Scheduling (Annual),1,1,1322,Annual,0.241301,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Monthly),1,1,553,Monthly,1.110307,0,Direct
Coaching & Consulting,Business (Monthly),0,0,275,Monthly,0.021818,0,Direct
Counseling & Mental Health,vCita Online Payments (Annual),0,0,1856,Annual,0.016164,0,Direct
Financial Services,vCita Business (Monthly),1,0,816,Monthly,0.008578,0,Direct
Legal Services,vCita Essentials (Annual),1,1,1461,Annual,0.240931,0.549,Direct
Legal Services,vCita Essentials (Annual),1,0,847,Annual,0.000000,0.223,Direct
Coaching & Consulting,vCita Business (Monthly),0,0,287,Monthly,0.000000,0.045,Direct
Coaching & Consulting,vCita Online Scheduling (Annual),1,0,1855,Annual,0.009164,0.202,Direct
"Home & Garden Work, Cleaning & Repair",vCita Platinum (Monthly),1,0,932,Monthly,1.541845,12.895,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,401,Monthly,0.000000,0,Direct
IT & Web,vCita Essentials (Annual),1,0,1398,Annual,0.004292,0.579,Direct
Legal Services,vCita Business Single (Annual),1,1,1626,Annual,2.483395,86.249,Direct
Coaching & Consulting,vCita Platinum 10 (Monthly),1,0,867,Monthly,0.095732,0,Direct
Fitness,vCita Essentials (Monthly),1,0,324,Monthly,0.154321,36.275,Direct
Government & Non-profit,vCita Essentials (Monthly),0,0,159,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Business (Annual),1,1,1721,Annual,0.567112,0,Direct
"Home & Garden Work, Cleaning & Repair",Business (Annual),0,0,465,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Essentials (Annual),0,0,1490,Annual,0.000000,0,Direct
Legal Services,vCita Essentials (Annual),0,1,1495,Annual,0.046823,3.211,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),1,0,335,Monthly,0.000000,17.313,Direct
Business Services,vCita Business (Annual),1,0,1681,Annual,0.019036,0,Direct
Legal Services,vCita Essentials (Monthly),0,1,828,Monthly,0.850242,9.507,Direct
Coaching & Consulting,vCita Online Scheduling (Monthly),1,0,620,Monthly,0.161290,0,Direct
"Sales, Marketing & Advertising",vCita Platinum (Annual),0,1,744,Annual,2.194892,0,Direct
"Events, Planning & Catering",vCita Essentials (Annual),1,1,2709,Annual,0.023994,0,Direct
Health & Wellness,vCita Online Scheduling (Annual),0,0,1184,Annual,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",Business (Monthly),1,0,967,Monthly,0.017580,0,White Label
Real Estate,vCita Platinum (Monthly),1,1,1828,Monthly,0.878556,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Monthly),1,0,2181,Monthly,0.593306,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),0,1,185,Monthly,0.054054,0,Solution Provider
Retail ,vCita Business (Annual),1,1,798,Annual,1.824561,0,Direct
Artists & Designers,vCita Business (Annual),1,0,673,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Annual),1,0,1915,Annual,0.018277,0.063,Reseller
Healthcare & Medical,vCita Online Scheduling (Annual),1,0,2168,Annual,0.006919,0,Direct
Business Services,vCita Online Scheduling (Monthly),0,0,1629,Monthly,0.000000,0.338,Direct
Counseling & Mental Health,vCita Business (Monthly),1,1,519,Monthly,1.554913,0,Direct
Adult & Nightlife,vCita Business (Annual),1,1,1848,Annual,0.000541,0.179,Direct
Fitness,vCita Platinum (Monthly),1,1,1327,Monthly,3.054258,72.868,Direct
Beauty & Personal Care,Obs. vCita Essentials (Annual),1,1,2542,Annual,0.536192,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Online Scheduling (Annual),0,0,1215,Annual,0.000823,0,Direct
Business Services,vCita Online Scheduling (Annual),1,0,2593,Annual,0.082916,0,Direct
Artists & Designers,vCita Online Payments (Annual),0,0,754,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Business (Annual),0,1,365,Annual,0.312329,0,Direct
Auto Services,vCita Essentials (Monthly),1,1,2309,Monthly,0.281940,23.257,Direct
Photography & Video,vCita Essentials (Annual),1,1,1214,Annual,0.458814,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,1,1941,Monthly,0.388975,1.082,Direct
Real Estate,vCita Online Payments (Annual),0,0,810,Annual,0.000000,2.469,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Annual),1,0,1068,Annual,0.027154,3.613,Direct
"Home & Garden Work, Cleaning & Repair",vCita Online Scheduling (Annual),1,1,2177,Annual,0.000459,0,Direct
Photography & Video,vCita Business Single (Annual),1,0,150,Annual,0.020000,0,Direct
"Sales, Marketing & Advertising",vCita Platinum (Annual),1,0,2022,Annual,0.070227,0,Direct
"Education, Instruction & Tutoring",vCita Online Scheduling (Annual),1,0,1878,Annual,0.003727,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Annual),1,0,739,Annual,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Annual),1,0,988,Annual,0.003036,0,Direct
Counseling & Mental Health,Online Scheduling (Monthly),0,0,1229,Monthly,0.008950,0,White Label
Business Services,vCita Business Single (Monthly),1,0,935,Monthly,0.004278,0,Direct
Healthcare & Medical,vCita Online Scheduling (Annual),1,1,1856,Annual,0.725216,0,Direct
Coaching & Consulting,vCita Essentials (Annual),1,1,1813,Annual,0.061224,0,Direct
Government & Non-profit,vCita Business Single (Annual),1,0,193,Annual,0.005181,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business Single (Monthly),1,0,239,Monthly,1.062762,56.787,Direct
Coaching & Consulting,vCita Essentials (Annual),1,0,631,Annual,0.004754,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,6,Monthly,0.000000,43.699,Direct
Financial Services,vCita Lead Generation (Annual),1,0,1916,Annual,0.010438,0,Direct
Legal Services,vCita Essentials (Monthly),1,0,481,Monthly,0.027027,0,Direct
Business Services,vCita Essentials (Monthly),1,0,962,Monthly,0.017672,0,Direct
"Education, Instruction & Tutoring",vCita Online Scheduling (Annual),1,1,2025,Annual,0.282963,0,Direct
Coaching & Consulting,vCita Business (Monthly),1,1,2452,Monthly,0.548124,39.845,Direct
Fitness,vCita Online Scheduling (Annual),1,0,439,Annual,10.785877,0,Direct
Coaching & Consulting,vCita Essentials (Annual),1,1,282,Annual,0.648936,0,Direct
Business Services,vCita Online Scheduling (Annual),0,0,763,Annual,0.003932,0,Direct
Financial Services,vCita Business (Monthly),1,0,1546,Monthly,0.229625,0,Direct
Alternative Medicine,vCita Business (Monthly),1,1,1398,Monthly,2.522890,0.23,Direct
Coaching & Consulting,vCita Essentials (Annual),0,0,378,Annual,0.002646,0,Direct
Business Services,vCita Platinum (Monthly),1,1,209,Monthly,1.583732,330.502,Direct
Coaching & Consulting,vCita Online Scheduling (Monthly),1,0,918,Monthly,0.003268,0.366,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,153,Monthly,0.000000,0,Direct
Legal Services,vCita Lead Generation (Monthly),0,0,1582,Monthly,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Annual),1,0,957,Annual,0.016719,0,Direct
"Sales, Marketing & Advertising",vCita Business (Annual),0,0,394,Annual,0.000000,0,Direct
Financial Services,vCita Business (Annual),1,1,469,Annual,7.059701,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Online Scheduling (Monthly),1,0,1646,Monthly,0.035237,0,Direct
Coaching & Consulting,vCita Essentials (Annual),1,1,1167,Annual,0.558698,60.069,Direct
Legal Services,vCita Business (Annual),0,0,757,Annual,0.000000,0,Direct
Auto Services,vCita Business (Annual),1,0,125,Annual,0.040000,0,Direct
Healthcare & Medical,vCita Business (Annual - Promo),1,0,94,Annual,0.159574,0,Direct
Auto Services,vCita Online Scheduling (Annual),0,0,1495,Annual,0.022074,0,Direct
Coaching & Consulting,vCita Business (Monthly),0,1,758,Monthly,0.143799,0,Direct
Beauty & Personal Care,vCita Online Scheduling (Monthly),1,0,166,Monthly,0.150602,0.06,Direct
Coaching & Consulting,vCita Business (Monthly),1,0,539,Monthly,0.011132,0,Reseller
Financial Services,vCita Essentials (Annual),1,1,1467,Annual,0.827539,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business Single (Monthly),0,0,358,Monthly,0.033520,0,Direct
