"IDENTITY_NAME","LAST_PLAN_NAME","CHURNED","HAS_BEEN_ADOPTED","LIFETIME","BILLING_CYCLE_FIXED","APPOINTMENTS_PER_WEEK","PAYMENTS_PER_WEEK","DIRECTORY_TYPE"
Government & Non-profit,vCita Business (Annual),1,0,1420,Annual,0.000000,4.736,Direct
Business Services,vCita Online Scheduling (Monthly),1,0,962,Monthly,0.012474,0,Direct
Coaching & Consulting,vCita Business Single (Annual),1,1,1296,Annual,0.271605,2.97,Reseller
Business Services,vCita Business (Annual),0,0,1131,Annual,0.001768,0,Direct
Coaching & Consulting,Essentials (Monthly),0,0,150,Monthly,0.033333,0,Direct
Business Services,vCita Essentials (Monthly),1,1,960,Monthly,0.073958,0,Direct
Government & Non-profit,vCita Essentials (Monthly),1,0,176,Monthly,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Annual),1,0,41,Annual,0.073171,0,Solution Provider
IT & Web,vCita Essentials (Monthly),1,0,2220,Monthly,0.005405,6.748,Direct
Healthcare & Medical,vCita Business (Monthly),1,1,1372,Monthly,0.595481,0,Direct
Government & Non-profit,vCita Essentials (Annual),1,0,94,Annual,0.000000,48.83,Direct
Healthcare & Medical,vCita Online Scheduling (Monthly),1,0,499,Monthly,0.132265,0,Direct
Coaching & Consulting,vCita Online Scheduling (Annual),1,0,1318,Annual,0.020486,0.182,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Annual),1,0,42,Annual,0.000000,0,Direct
Real Estate,vCita Business (Monthly),1,1,71,Monthly,0.647887,0.009,Direct
"Events, Planning & Catering",vCita Business (Annual),1,1,1533,Annual,0.060665,0.589,Direct
Legal Services,vCita Essentials (Annual),0,0,760,Annual,0.001316,0,Reseller
"Education, Instruction & Tutoring",vCita Platinum Single (Annual),1,0,310,Annual,0.025806,0,Direct
Coaching & Consulting,vCita Business (Annual),1,0,1489,Annual,0.000672,72.743,Direct
Government & Non-profit,vCita Online Payments (Annual),1,0,1101,Annual,0.000000,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),0,0,342,Monthly,0.000000,2.076,Direct
Coaching & Consulting,vCita Essentials (Annual),0,1,369,Annual,1.775068,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,348,Monthly,0.025862,0.402,Direct
"Home & Garden Work, Cleaning & Repair",vCita Online Payments (Annual),1,0,1104,Annual,0.000000,89.575,Direct
Beauty & Personal Care,vCita Online Scheduling (Monthly),1,0,164,Monthly,1.591463,0,Direct
IT & Web,vCita Business (Annual),1,0,1279,Annual,0.000000,0,Direct
Coaching & Consulting,vCita Online Scheduling (Annual),1,1,1558,Annual,0.039795,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Online Scheduling (Annual),1,0,1140,Annual,0.035965,0,Direct
Healthcare & Medical,vCita Online Scheduling (Annual),0,1,365,Annual,1.600000,0,Direct
Business Services,vCita Essentials (Annual),1,0,1182,Annual,0.082064,5.774,Direct
"Home & Garden Work, Cleaning & Repair",Lead Generation & Contacts (Monthly),0,0,326,Monthly,0.015337,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Monthly),1,0,544,Monthly,0.136029,0,Reseller
Healthcare & Medical,vCita Business (Annual),0,0,1109,Annual,0.000902,0,Solution Provider
"Sales, Marketing & Advertising",vCita Online Scheduling (Annual),0,0,413,Annual,0.021792,0,Direct
IT & Web,Obs. vCita Essentials (Annual),1,0,2356,Annual,0.000000,0,Solution Provider
Business Services,vCita Business (Monthly),0,0,1039,Monthly,0.019249,3.003,Direct
"Sales, Marketing & Advertising",Business (Annual),0,0,450,Annual,0.008889,0,Direct
Government & Non-profit,vCita Essentials (Monthly),0,0,650,Monthly,0.001538,0.186,Direct
Healthcare & Medical,vCita Essentials (Annual),1,1,2346,Annual,0.208866,0,Direct
"Events, Planning & Catering",vCita Business (Annual),1,1,1680,Annual,2.004167,0,Reseller
"Education, Instruction & Tutoring",vCita Business Single (Annual),1,0,47,Annual,0.000000,0,Direct
Auto Services,vCita Online Scheduling (Monthly),1,0,734,Monthly,0.019074,0,Direct
Healthcare & Medical,vCita Business (Monthly),1,0,771,Monthly,0.990921,0,Direct
Alternative Medicine,vCita Business (Annual),1,1,1572,Annual,1.695929,0.21,Direct
Coaching & Consulting,vCita Business (Annual),0,0,368,Annual,0.005435,0,Direct
Legal Services,Business (Annual),0,0,442,Annual,0.004525,0,Direct
"Hospitality, Travel & Leisure",vCita Essentials (Monthly),0,0,32,Monthly,0.000000,21.25,Direct
Counseling & Mental Health,vCita Platinum Single (Annual),1,1,913,Annual,7.577218,0,Direct
Coaching & Consulting,vCita Business (Annual),1,1,1883,Annual,0.989379,1.041,Direct
"Sales, Marketing & Advertising",vCita Essentials (Annual),1,0,222,Annual,0.000000,208.014,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),0,0,121,Monthly,0.008264,0,Direct
IT & Web,vCita Platinum (Monthly),0,0,90,Monthly,0.000000,0,Direct
Legal Services,vCita Online Scheduling (Annual),1,0,1238,Annual,0.004039,0,Direct
Artists & Designers,vCita Online Scheduling (Annual),1,0,914,Annual,0.110503,0,Direct
"Sales, Marketing & Advertising",vCita Business (Monthly),1,0,1153,Monthly,0.004337,0,Direct
Healthcare & Medical,vCita Essentials (Annual),1,0,1856,Annual,0.026401,0,Direct
Alternative Medicine,vCita Online Scheduling (Annual),1,1,1122,Annual,4.120321,0.232,Direct
Coaching & Consulting,vCita Online Scheduling (Monthly),1,0,518,Monthly,0.048263,0.164,Reseller
"Sales, Marketing & Advertising",vCita Essentials (Monthly),0,0,322,Monthly,0.009317,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Monthly),1,1,1632,Monthly,0.014093,0,Direct
Photography & Video,vCita Essentials (Monthly),1,0,1417,Monthly,0.000706,2.812,Direct
"Education, Instruction & Tutoring",vCita Business (Monthly),0,0,399,Monthly,0.000000,0,Direct
Coaching & Consulting,vCita Online Scheduling (Monthly),0,0,370,Monthly,0.013514,0,Direct
Beauty & Personal Care,vCita Online Scheduling (Monthly),1,1,365,Monthly,1.315068,0,Direct
IT & Web,Business (Annual),0,0,544,Annual,0.000000,0,Direct
"Home & Garden Work, Cleaning & Repair",vCita Business (Monthly),1,1,1027,Monthly,0.746835,3.169,Direct
"Education, Instruction & Tutoring",vCita Online Payments (Monthly),0,0,365,Monthly,0.000000,0,Direct
Artists & Designers,vCita Business (Annual),0,0,395,Annual,0.000000,0,Direct
Adult & Nightlife,vCita Business (Monthly),0,1,1785,Monthly,0.094118,0,Direct
Writing & Language Services,vCita Business Single (Monthly),1,0,1580,Monthly,0.008861,0,Direct
Business Services,vCita Platinum (Monthly),1,1,126,Monthly,1.142857,0,Reseller
Photography & Video,vCita Platinum (Monthly),0,1,431,Monthly,0.076566,0,Direct
Health & Wellness,vCita Business (Annual),1,1,1551,Annual,3.098646,0.321,Reseller
Auto Services,vCita Essentials (Annual),1,0,1927,Annual,0.136482,0,Direct
Health & Wellness,vCita Business (Monthly),1,1,930,Monthly,1.806452,0,Direct
Counseling & Mental Health,vCita Business (Annual),1,1,1628,Annual,4.078624,0,Direct
IT & Web,vCita Essentials (Monthly),0,0,513,Monthly,0.001949,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),1,0,1442,Monthly,0.054092,0,Direct
Healthcare & Medical,vCita Online Scheduling (Monthly),0,0,104,Monthly,0.000000,0,Direct
Auto Services,Platinum (Monthly),0,0,88,Monthly,5.465909,3.136,White Label
Coaching & Consulting,vCita Essentials (Monthly),1,0,1489,Monthly,0.002686,0,Reseller
Coaching & Consulting,vCita Essentials (Monthly),1,1,813,Monthly,3.704797,60.791,Reseller
Business Services,vCita Platinum (Annual),1,1,623,Annual,0.621188,4.066,Direct
Alternative Medicine,vCita Essentials (Annual),1,1,1801,Annual,0.450305,0,Direct
"Education, Instruction & Tutoring",vCita Essentials (Annual),1,1,853,Annual,0.172333,0,Direct
Government & Non-profit,vCita Essentials (Annual),1,0,197,Annual,0.000000,1.65,Direct
"Home & Garden Work, Cleaning & Repair",vCita Essentials (Annual),1,0,1910,Annual,0.014136,0,Direct
"Sales, Marketing & Advertising",vCita Essentials (Monthly),1,0,585,Monthly,0.039316,0,Direct
Health & Wellness,vCita Online Scheduling (Annual),1,1,2105,Annual,0.221378,0,Direct
Health & Wellness,vCita Platinum 10 (Monthly),1,0,1912,Monthly,0.036611,0.18,Reseller
"Home & Garden Work, Cleaning & Repair",vCita Business (Monthly),0,0,305,Monthly,0.003279,0,Direct
IT & Web,vCita Essentials (Annual),1,0,1625,Annual,0.183385,0,Direct
Coaching & Consulting,vCita Online Scheduling (Monthly),1,0,1504,Monthly,0.000000,0,Direct
Healthcare & Medical,vCita Business (Annual),0,1,1596,Annual,0.000000,0,Direct
Counseling & Mental Health,vCita Essentials (Annual),0,1,1119,Annual,1.453977,13.624,Direct
Financial Services,vCita Online Scheduling (Annual),0,0,435,Annual,0.004598,0,Direct
"Sales, Marketing & Advertising",vCita Online Scheduling (Annual),1,0,1645,Annual,0.593921,0,Direct
Coaching & Consulting,vCita Platinum (Monthly),0,1,395,Monthly,0.951899,0,Direct
Business Services,vCita Online Scheduling (Monthly),0,0,160,Monthly,0.031250,0,Direct
"Education, Instruction & Tutoring",vCita Platinum (Annual),1,0,964,Annual,0.001037,0,White Label
Coaching & Consulting,vCita Business (Monthly),1,0,687,Monthly,0.011645,0,Reseller
"Hospitality, Travel & Leisure",vCita Business (Monthly),0,0,358,Monthly,0.000000,0.161,Direct
Business Services,vCita Essentials (Annual),0,0,784,Annual,0.001276,0,Reseller
Healthcare & Medical,vCita Online Scheduling (Monthly),0,0,610,Monthly,0.155738,0,Direct
Coaching & Consulting,vCita Essentials (Annual),0,1,1593,Annual,0.037037,0.075,Direct
Government & Non-profit,vCita Essentials (Annual),0,0,751,Annual,0.063915,0,Direct
Legal Services,vCita Business (Monthly),0,0,612,Monthly,0.006536,0,Direct
Coaching & Consulting,vCita Essentials (Monthly),0,0,1137,Monthly,0.023747,0.157,Reseller
Government & Non-profit,vCita Business (Monthly),0,1,464,Monthly,0.000000,0,Direct
"Hospitality, Travel & Leisure",vCita Online Scheduling (Annual),1,0,1775,Annual,0.030423,0,Direct
Legal Services,vCita Business (Annual),1,1,1802,Annual,0.233629,0,Direct
"Education, Instruction & Tutoring",vCita Essentials (Annual),1,1,946,Annual,0.051797,9.123,Direct
Business Services,vCita Essentials (Monthly),1,1,912,Monthly,0.646930,0,Reseller
IT & Web,vCita Essentials (Monthly),0,0,758,Monthly,0.000000,0,Direct
